# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE297571|methylation_array|Homo sapiens|41|GSE297571_RAW.tar(435MB)|cancer,immunology,neuroscience,drug_response,cell_stress|B cell-extrinsic and intrinsic factors linked to early immune repletion after anti-CD20 therapy in patients with Multiple Sclerosis of African Ancestry|explored potential Illumina Infinium whole-genome genotyping WGG arrays delineate SNPs influence treatment response prognosis Utilizing ImmunoArray 24v2 investigation centered sought identify|
GSE268135|wgbs|Homo sapiens|4|GSE268135_RAW.tar(180KB)|cancer,immunology,development,infectious_disease,skeletal_muscle,rna_biology,eye_vision|Effect of KSHV lytic reactivation on host mRNA m5C modification landscape in lymphoma B cell|Herpesviruses group double-stranded DNA viruses develop versatile viral strategies escape immune surveillance promoting replication propagation illustrated Kaposi sarcoma-associated herpesvirus|
GSE297566|methylation_array|Homo sapiens|48|GSE297566_RAW.tar(36MB)|neuroscience,development,epigenetics,rna_biology,signal_transduction|Hippocampal epitranscriptomic (m6A) in human model of Temporal Lobe Epilepsy|Analogous DNA methylation protein phosphorylation now understood RNA subject extensive processing modification N6-methyladenosine most abundant internal regulates fate several ways stability|
GSE286948|wgbs|Homo sapiens|18|GSE286948_all_read_counts_aka_coverage_hs37d5_intervals_are_1_based_and_closed.tsv.gz(476MB), GSE286948_methylated_read_counts_hs37d5_intervals_are_1_based_and_closed.tsv.gz(449MB)|immunology,development,epigenetics,fibrosis_wound,skin|DNA hypomethylation comprising transposable elements defines human regulatory T cells in cutaneous tissue and identifies their blood recirculating counterpart|Treg tissues play crucial immunoregulatory tissue-regenerative Despite significance epigenetic basis tissue-Treg differentiation migratory subset incompletely understood genome-wide skin integrated|
GSE276084|other_methylation|Mus musculus|34|GSE276084_RAW.tar(754MB)|cancer,epigenetics|Direct genetic transformation bypasses tumor-associated DNA methylation alterations|SuperSeries composed SubSeries listed|
GSE276082|other_methylation|Mus musculus|7|GSE276082_RAW.tar(56MB)|cancer,immunology,epigenetics|Direct genetic transformation bypasses tumor-associated DNA methylation alterations (target enrichment)|Tumors represent dynamically evolving populations mutant cells many advances made understanding biology progression key unresolved questions conditions support initial cannot easily captured patient|
GSE244634|rrbs|Mus musculus|27|GSE244634_RAW.tar(698MB)|cancer,immunology,epigenetics|Direct genetic transformation bypasses tumor-associated DNA methylation alterations (RRBS)|Tumors represent dynamically evolving populations mutant cells many advances made understanding biology progression key unresolved questions conditions support initial cannot easily captured patient|
GSE203487|wgbs|Oryza sativa|2|GSE203487_dmrs_CG_H_C_result20201026.tsv.gz(4KB), GSE203487_dmrs_CHG_H_C_result20201106.tsv.gz(13KB), GSE203487_dmrs_CHH_H_C_result20201106.tsv.gz(5KB), GSE203487_RAW.tar(2.0GB)|epigenetics,plant_biology|Whole genome bisulfite sequence in heat treated rice seeds|report relationship transgenerational growth profiling DNA methylation|
GSE278681|other_methylation|Homo sapiens|18|GSE278681_RAW.tar(4.3GB)|cancer,epigenetics,aging,cell_stress|DNA methylation protects cancer cells against non-canonical senescence|Aberrant patterns hallmark human cancers prompting targeting machinery explored anti-tumor strategy methyltransferase DNMT1 ubiquitin like PHD Ring finger domains UHRF1 crucial enzymes maintenance|
GSE297063|other_methylation|Plasmodium falciparum|48|GSE297063_RAW.tar(100KB)|infectious_disease,cell_stress,rna_biology,gene_regulation|Genome-wide profiling of tRNA modifications reveal the presence of divergent signatures in Plasmodium falciparum|tRNAs extensively decorated various nucleotide modulate biological properties promoting translation efficiency fidelity influencing codon preference stabilizing tertiary structure Dynamic alteration|
GSE246910|wgbs|Mus musculus|32|GSE246910_RAW.tar(2.4GB)|development,epigenetics,reproduction,plant_biology,cell_stress|FTDC1/2, oocyte-specific cofactors of DNMT1 required for epigenetic regulation and embryonic development (Bisulfite-Seq)|order obtain genome-wide profiles base-resolution methylomes oocytes 4-cells blastocysts generated sequencing BS-seq method few samples global loss DNA methylation preimplantation Ftdc1-/-and Ftdc2|
GSE292839|wgbs|Xenopus tropicalis|192|GSE292839_CGmatrix_100x_all.tsv.gz(4MB)|development,epigenetics|An epigenetic clock for Xenopus tropicalis|DNA methylation clocks widely accurate age prediction most carried mammals present aquatic frog model organism developmental biology genomics construct collected 192 frogs targeted bisulfite|
GSE289605|rrbs|Homo sapiens|98|GSE289605_RAW.tar(13.4GB)|cancer,epigenetics,cell_stress|Intraindividual epigenetic heterogeneity underlying phenotypic subtypes of advanced prostate cancer [eRRBS]|characterized histologically molecularly heterogeneous Additionally changes play important regulating progression largely unknown Hence profiles autopsy cases|
GSE267615|methylation_array|Homo sapiens|2|GSE267615_RAW.tar(189MB)|cancer,metabolism,epigenetics|A novel model for high-grade transformation in IDH mutant glioma (Methylation Analysis)|Background common IDH-mutant inevitable unpredictable genomic metabolomic landscapes going dynamic processes phenomena clinically research limited lack preclinical models recapitulate evolution|
GSE276059|methylation_array|Homo sapiens|1|GSE276059_RAW.tar(193MB)|cancer,development,cell_stress|Complete Remission with Conventional Chemoradiotherapy in Radiation-Induced Glioma  Harboring Co-amplification of PDGFRA, KIT, and KDR: A Case Report and Literature Review|Background One most serious complications cranial development estimated occur patients received irradiation worse prognosis sporadic glioblastoma date owing rarity standard care established|
GSE256293|wgbs|Homo sapiens|110|GSE256293_RAW.tar(1.3GB)|cancer,immunology,epigenetics,kidney,drug_response|Targeted bisulfite sequencing in PTC|illuminates critical advancement personalized management papillary thyroid cancer identification validation epigenetic biomarkers discovered two distinct subgroups varying prognoses TBS clues PTC1|
GSE296674|methylation_array|Mus musculus|6|GSE296674_207215890027_processed.csv.gz(181MB), GSE296674_RAW.tar(60MB)|cancer,neuroscience,development,epigenetics,cell_stress,signal_transduction|A new IDH-independent hypermethylation phenotype is associated with astrocyte-like cell state in glioblastoma|DNA plays crucial cancer development progression linked genetically clinically distinct tumor classes IDH-mutated IDH-wildtype adult-type diffuse gliomas CpG-island methylator CIMP characterizes|
GSE262236|wgbs|Homo sapiens|9|GSE262236_RAW.tar(40KB)|development,epigenetics,cell_stress,rna_biology|Erosion of X-Chromosome Inactivation in female hiPSCs is heterogeneous and persists during differentiation (Bisulfite-seq)|culture human pluripotent stem cells hPSCs induced exhibit propensity XCI phenomenon characterized loss XIST RNA expression reactivation subset X-linked genes inactive despite common occurrence often|
GSE245609|methylation_array|Homo sapiens|37|GSE245609_Matrix_signal_intensities_Tuzova_et_al.txt.gz(252MB), GSE245609_RAW.tar(678MB)|cancer,epigenetics,cell_stress,gene_regulation|Deciphering Epigenetic Regulation of Enhancers in High-Risk Prostate Cancer|PCa widespread promoter hypermethylation hypothesized aberrant DNA methylation targets modulating activity contributing disease etiology assessed discovery set primary via Infinium EPIC array|
GSE276525|other_methylation|Mus musculus|4|GSE276525_RAW.tar(833MB)|development,epigenetics,reproduction|Impact of Echs1 on DNA methylome in early mouse embryos|plays important histone lysine crotonylation studied many systems knocked down oocytes epigenome|
GSE296282|other_methylation|Homo sapiens|5|GSE296282_RAW.tar(474MB)|immunology,epigenetics,aging|Profiling epigenetic aging at cell-type resolution through long-read sequencing|DNA methylation give rise robust biomarkers most profile bulk tissue level masks type-specific alterations follow distinct trajectories technology enables extended fragments enabling mapping origin|
GSE295084|wgbs|Homo sapiens|4|GSE295084_RAW.tar(2.6GB)|cancer,epigenetics,aging|Dynamic Multi-omics Profiling Unveils Bimodal Epigenetic Roles of Chromatin O-GlcNAc modification in Premature Senescence Program [BiSulfite-seq]|Cellular recognized instigator tumorigenesis age-associated disorders precipitated characteristic alterations expression profiles precise orchestrate senescence-related genes still elusive employed|
GSE218055|wgbs|Mus musculus|9|GSE218055_RAW.tar(884MB)|neuroscience,epigenetics|A Dominant mutation in Dnmt1 leads epigenetic changes (RNA-BS-seq Mouse Cortex)|report application rnaseq A560V mice|
GSE218053|wgbs|Homo sapiens|6|GSE218053_RAW.tar(21MB)|neuroscience,epigenetics,kidney,rna_biology|Exploring the Role of DNMT1 in RNA m⁵C Methylation (RNA-BS-SEQ DNMT1 knockdown)|DNA methyltransferase enzyme maintenance point mutations RFTS domain lead late-onset neurodegeneration autosomal dominant cerebellar ataxia-deafness narcolepsy ADCA-DN disorder demonstrated wild-type|
GSE169101|em_seq|Mus musculus|25|GSE169101_RAW.tar(496MB)|neuroscience,epigenetics|A Dominant mutation in Dnmt1 leads epigenetic changes (rrbs)|report application Enzymatic Methyl-seq prefrontal cortex A560V mice|
GSE169100|em_seq|Mus musculus|13|GSE169100_RAW.tar(2.0GB)|neuroscience,epigenetics|A Dominant mutation in Dnmt1 leads epigenetic changes (Emseq)|report application Enzymatic Methyl-seq prefrontal cortex A560V mice|
GSE280051|other_methylation|Homo sapiens|6|GSE280051_BS.csv.gz(69KB)|rna_biology|A cohort of mRNAs undergo high-stoichiometry NSUN6-mediated site-specific m5C modification|modifications vital regulating cellular processes Beyond N6-methyladenosine m6A most other internal lack dedicated catalytic machinery typically introduced tRNA-modifying enzymes distribution debated|
GSE288693|rrbs|Homo sapiens|12|GSE288693_vessel.RRBS.dat.cln.txt.gz(25MB)|development,cardiovascular,metabolism,epigenetics|Chromatin interaction maps of human arterioles reveal new mechanisms for the genetic regulation of blood pressure [RRBS]|small vessels located upstream capillaries nearly tissues constriction dilation regulate tissue perfusion primary determinants systemic Abnormalities central development major diseases hypertension|
GSE266366|other_methylation|Homo sapiens|26|GSE266366_RAW.tar(13.6GB)|cancer,epigenetics,aging|Epigenomic profiling of active regulatory elements by enrichment of unmodified CpG dinucleotides|present enrichment-based bisulfite-free approach named Active-Seq Azide Click Tagging Vitro sequencing achieves genome-wide DNA enriching non-modified sites mutated methyltransferase enzyme fast|
GSE289772|other_methylation|Mus musculus|6|GSE289772_RAW.tar(2.2GB)|cancer,immunology,metabolism,epigenetics,drug_response,signal_transduction|Pyruvate kinase M2 activation reprograms mitochondria in CD8 T cells, enhancing effector functions and efficacy of anti-PD1 therapy|regulate response cancer immunotherapy pharmacologically induced PKM2 enhances mitochondria-dependent mouse human CAR-T Multi-omics 13C-glucose tracer experiments alters one-carbon metabolism|
GSE271547|methylation_array|Homo sapiens|120|GSE271547_5gTemp_HaCat_Beta_detP.txt.gz(51MB), GSE271547_5gTemp_HDF_Beta_detP.txt.gz(52MB), GSE271547_P10_HaCat_Beta_detP.txt.gz(183MB), GSE271547_P10_HDF_Beta_detP.txt.gz(184MB), GSE271547_P1_HaCat_Beta_detP.txt.gz(188MB), GSE271547_P1_HDF_Beta_detP.txt.gz(180MB), GSE271547_RAW.tar(1.8GB), GSE271547_Results_csv.tar.gz(1.7GB), GSE271547_UV_HaCat_Beta_detP.txt.gz(51MB), GSE271547_UV_HDF_Beta_detP.txt.gz(53MB)|development,epigenetics,skin|5G-exposed human skin cells do not respond with altered gene expression and methylation profiles [methylation]|Due ever-increasing wirelessly transmitted development new transmission standards higher frequencies band required Despite basic biophysical considerations argue against health effects public concern|
GSE268661|medip_seq|Mus musculus|8|GSE268661_mESCs_Peak_Annotations.xlsx(9MB), GSE268661_Mouse_tissue_Peak_Annotations.xlsx(4MB)|neuroscience,development,epigenetics,reproduction|ALKBH1-mediated DNA N6-methyladenine Modification Regulates H3K9me3-dependent Heterochromatin in Neural Tube Development|Defects NTDs class severe congenital developmental caused abnormal closure early embryonic conditions anencephaly spina bifida encephalocele Currently considered combined effects genetic|
GSE266370|other_methylation|Rattus norvegicus|6|GSE266370_RAW.tar(13.9GB)|neuroscience,epigenetics|Age-dependent DNA methylation characterization of the rat neurohypophysis|prior indicat contralateral axonal sprouting following unilateral lesion magnocellular neurons|
GSE264460|wgbs|Bos taurus; Bos grunniens x Bos taurus; Bos grunniens|22|GSE264460_bovine_DNAme_2cell.bw(252MB), GSE264460_bovine_DNAme_4cell.bw(269MB), GSE264460_bovine_DNAme_8cell_Ama_TBE.bw(255MB), GSE264460_bovine_DNAme_8cell.bw(282MB), GSE264460_bovine_DNAme_D7_ICM.bw(286MB), GSE264460_bovine_DNAme_D7_TE.bw(297MB), GSE264460_bovine_DNAme_GV.bw(251MB), GSE264460_bovine_DNAme_MII.bw(177MB), GSE264460_bovine_DNAme_Morula.bw(298MB), GSE264460_bovine_DNAme_Sperm.bw(327MB), GSE264460_bovine_DNAme_Zygote.bw(271MB)|development,epigenetics,cell_stress,gene_regulation|Super Pol II Domains enhance minor ZGA through 3D-interaction to ensure the integrity of major transcriptional waves in ZGA delayed mammals (Bisulfite-Seq)|Zygotic genome activation represents inaugural post-fertilization event mouse RNA polymerase initiates embryonic step-wise transition initiation process non-rodents profiling bovine porcine embryos|
